pmid,title,gold,predicted,p_RCT,p_non_RCT,noul,confidence,cluster,hybrid_recovered
21607966,Electrodiagnostic consultation and identification of neuromuscular conditions in persons with diabetes.,RCT,non_RCT,0.0,1.0,0.01,1.0,Abstract reads observational / retrospective / single-arm / Phase I (PT-only or weak abstract),False
21840055,Prospective analysis of LDL-C goal achievement and self-reported medication adherence among statin users in primary care.,RCT,non_RCT,0.0,1.0,0.05,1.0,Secondary / nested / screening / reanalysis mentioning parent RCT,False
21978010,Engagement of temporal lobe regions predicts response to educational interventions in adolescent struggling readers.,RCT,non_RCT,0.0,1.0,0.03,1.0,Abstract reads observational / retrospective / single-arm / Phase I (PT-only or weak abstract),False
22030767,Meeting the challenge of practice quality improvement: a study of seven family medicine residency training practices.,RCT,non_RCT,0.0,1.0,0.02,1.0,Secondary / nested / screening / reanalysis mentioning parent RCT,False
22093067,"Reactions of non-immunologic contact urticaria on scalp, face, and back.",RCT,non_RCT,0.01,0.99,0.13,0.97,"Within-subject experimental comparison, allocation silent",False
22139387,A comparison of percutaneous reduction and screw fixation versus open reduction and plate fixation of traumatic symphysis pubis diastasis.,RCT,non_RCT,0.0,1.0,0.06,1.0,Silent parallel-arm trial (allocation omitted; recoverable),True
22248375,"Aging, imagery, and the bizarreness effect.",RCT,non_RCT,0.01,0.99,0.07,0.98,Psychology lab “Experiment N” without random* language,False
23312232,"Self-reported menopausal symptoms, coronary artery calcification, and carotid intima-media thickness in recently menopausal women screened for the Kronos early estrogen prevention study (KEEPS).",RCT,non_RCT,0.07,0.93,0.09,0.85,Secondary / nested / screening / reanalysis mentioning parent RCT,False
23758106,Scanning electron microscopy of growing dental plaque: a quantitative study with different mouth rinses.,RCT,non_RCT,0.19,0.81,0.25,0.63,Silent parallel-arm trial (allocation omitted; recoverable),True
23837219,Comparison of keratometric values and corneal eccentricity.,RCT,non_RCT,0.0,1.0,0.02,1.0,Abstract reads observational / retrospective / single-arm / Phase I (PT-only or weak abstract),False
23892047,Complement fragment 3a priming of umbilical cord blood progenitors: safety profile.,RCT,non_RCT,0.0,1.0,0.06,0.99,Abstract reads observational / retrospective / single-arm / Phase I (PT-only or weak abstract),False
24052368,"Hyaluronic acid: in vitro and in vivo analysis, biochemical properties and histological and morphological evaluation of injected filler.",RCT,non_RCT,0.0,1.0,0.03,1.0,Abstract reads observational / retrospective / single-arm / Phase I (PT-only or weak abstract),False
24969152,"Comparison of evidence-based interventions on outcomes of hospitalized, cognitively impaired older adults.",RCT,non_RCT,0.14,0.86,0.42,0.72,Cluster/site RCT with “not patient-randomized” disclaimer,True
25754896,Increasing the efficiency of paired-stimulus preference assessments by identifying categories of preference.,RCT,non_RCT,0.0,1.0,0.02,1.0,Abstract reads observational / retrospective / single-arm / Phase I (PT-only or weak abstract),False
25866811,A phase I trial to evaluate the multiple-dose safety and antitumor activity of ursolic acid liposomes in subjects with advanced solid tumors.,RCT,non_RCT,0.0,1.0,0.04,1.0,Abstract reads observational / retrospective / single-arm / Phase I (PT-only or weak abstract),False
25888270,Comparative effectiveness of mitoxantrone plus prednisone versus prednisone alone in metastatic castrate-resistant prostate cancer after docetaxel failure.,RCT,non_RCT,0.06,0.94,0.32,0.88,Secondary / nested / screening / reanalysis mentioning parent RCT,False
26563287,Osteosarcopenia is more than sarcopenia and osteopenia alone.,RCT,non_RCT,0.0,1.0,0.02,1.0,Abstract reads observational / retrospective / single-arm / Phase I (PT-only or weak abstract),False
26697137,Changes in Oxidative Stress and Inflammatory Biomarkers in Fragile Adults over Fifty Years of Age and in Elderly People Exclusively Fed Enteral Nutrition.,RCT,non_RCT,0.3,0.7,0.39,0.41,Silent parallel-arm trial (allocation omitted; recoverable),True
26863870,Explanations and information-giving: clinician strategies used in talking to parents of preterm infants.,RCT,non_RCT,0.38,0.62,0.46,0.24,Secondary / nested / screening / reanalysis mentioning parent RCT,False
27774458,Short-Term High-Intensity Interval Training on Body Composition and Blood Glucose in Overweight and Obese Young Women.,RCT,non_RCT,0.3,0.7,0.31,0.39,Silent parallel-arm trial (allocation omitted; recoverable),True
28038841,Discontinuation of orthokeratology on eyeball elongation (DOEE).,RCT,non_RCT,0.01,0.99,0.08,0.99,Abstract reads observational / retrospective / single-arm / Phase I (PT-only or weak abstract),False
28485200,"Assessment of early treatment response by rapid cardiothoracic ultrasound in acute heart failure: Cardiac filling pressures, pulmonary congestion and mortality.",RCT,non_RCT,0.0,1.0,0.03,1.0,Abstract reads observational / retrospective / single-arm / Phase I (PT-only or weak abstract),False
28703621,Attentional accounting: Voluntary spatial attention increases budget category prioritization.,RCT,non_RCT,0.1,0.9,0.21,0.8,Psychology lab “Experiment N” without random* language,False
28778281,Effects of high progesterone level on the day of human chorionic gonadotrophin administration in in vitro fertilization cycles on epigenetic modification of endometrium in the peri-implantation period.,RCT,non_RCT,0.0,1.0,0.02,1.0,Abstract reads observational / retrospective / single-arm / Phase I (PT-only or weak abstract),False
32534135,Interobserver variance and patient heterogeneity influencing the treatment of grade I spondylolisthesis.,RCT,non_RCT,0.37,0.63,0.09,0.25,Secondary / nested / screening / reanalysis mentioning parent RCT,False
