pmid,title,reports,parent,exp,secondary,parallel,protocol,review,ship_recovered
25866811,A phase I trial to evaluate the multiple-dose safety and antitumor activity of ursolic aci,0.09,0.02,0.96,0.12,0.06,0.98,0.02,False
25754896,Increasing the efficiency of paired-stimulus preference assessments by identifying categor,0.03,0.02,0.5,0.85,0.04,0.77,0.02,False
23892047,Complement fragment 3a priming of umbilical cord blood progenitors: safety profile.,0.19,0.05,0.88,0.45,0.14,0.88,0.02,False
21840055,Prospective analysis of LDL-C goal achievement and self-reported medication adherence amon,0.33,0.13,0.06,0.9,0.04,0.47,0.02,False
23312232,"Self-reported menopausal symptoms, coronary artery calcification, and carotid intima-media",0.98,0.97,0.23,0.98,0.05,0.11,0.02,True
22030767,Meeting the challenge of practice quality improvement: a study of seven family medicine re,0.2,0.04,0.12,0.96,0.04,0.18,0.04,False
32534135,Interobserver variance and patient heterogeneity influencing the treatment of grade I spon,0.94,0.89,0.83,0.93,0.57,0.07,0.02,True
28038841,Discontinuation of orthokeratology on eyeball elongation (DOEE).,0.82,0.22,0.36,0.78,0.95,0.29,0.02,True
25888270,Comparative effectiveness of mitoxantrone plus prednisone versus prednisone alone in metas,0.88,0.96,0.84,0.94,0.41,0.58,0.07,True
22248375,"Aging, imagery, and the bizarreness effect.",0.02,0.02,0.97,0.24,0.1,0.04,0.02,True
28703621,Attentional accounting: Voluntary spatial attention increases budget category prioritizati,0.03,0.02,0.97,0.13,0.2,0.03,0.02,True
28485200,Assessment of early treatment response by rapid cardiothoracic ultrasound in acute heart f,0.07,0.03,0.08,0.69,0.04,0.87,0.02,False
21978010,Engagement of temporal lobe regions predicts response to educational interventions in adol,0.2,0.03,0.36,0.83,0.05,0.6,0.02,False
28778281,Effects of high progesterone level on the day of human chorionic gonadotrophin administrat,0.04,0.02,0.04,0.88,0.04,0.5,0.02,False
21607966,Electrodiagnostic consultation and identification of neuromuscular conditions in persons w,0.02,0.02,0.02,0.81,0.03,0.15,0.03,False
26863870,Explanations and information-giving: clinician strategies used in talking to parents of pr,0.97,0.93,0.93,0.96,0.49,0.12,0.03,True
24052368,"Hyaluronic acid: in vitro and in vivo analysis, biochemical properties and histological an",0.06,0.02,0.53,0.73,0.04,0.94,0.02,False
22093067,"Reactions of non-immunologic contact urticaria on scalp, face, and back.",0.11,0.04,0.97,0.34,0.16,0.31,0.02,True
23837219,Comparison of keratometric values and corneal eccentricity.,0.02,0.02,0.02,0.79,0.05,0.22,0.02,False
26563287,Osteosarcopenia is more than sarcopenia and osteopenia alone.,0.07,0.02,0.04,0.74,0.03,0.2,0.02,False
